Running iteration 1
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..
==> Defining training..

 Loss: 2.320 | Acc: 17.680% (8840/50000)
 Loss: 2.063 | Acc: 24.498% (12249/50000)
 Loss: 1.982 | Acc: 28.026% (14013/50000)
 Loss: 1.915 | Acc: 30.404% (15202/50000)
 Loss: 1.857 | Acc: 32.754% (16377/50000)
 Loss: 1.808 | Acc: 34.596% (17298/50000)
 Loss: 1.762 | Acc: 36.302% (18151/50000)
 Loss: 1.735 | Acc: 37.242% (18621/50000)
 Loss: 1.706 | Acc: 38.340% (19170/50000)
 Loss: 1.682 | Acc: 39.334% (19667/50000)
==> Testing..
 9 10 Loss: 1.554 | Acc: 44.730% (4473/10000)   Saving..

 Loss: 1.659 | Acc: 40.108% (20054/50000)
 Loss: 1.641 | Acc: 40.806% (20403/50000)
 Loss: 1.629 | Acc: 41.358% (20679/50000)
 Loss: 1.618 | Acc: 41.696% (20848/50000)
 Loss: 1.597 | Acc: 42.410% (21205/50000)
 Loss: 1.592 | Acc: 42.894% (21447/50000)
 Loss: 1.568 | Acc: 43.746% (21873/50000)
 Loss: 1.559 | Acc: 44.032% (22016/50000)
 Loss: 1.559 | Acc: 43.724% (21862/50000)
 Loss: 1.547 | Acc: 44.404% (22202/50000)
==> Testing..
 9 10 Loss: 1.423 | Acc: 49.900% (4990/10000)   Saving..

 Loss: 1.534 | Acc: 45.100% (22550/50000)
 Loss: 1.523 | Acc: 45.312% (22656/50000)
 Loss: 1.516 | Acc: 45.418% (22709/50000)
 Loss: 1.511 | Acc: 45.554% (22777/50000)
 Loss: 1.510 | Acc: 46.002% (23001/50000)
 Loss: 1.499 | Acc: 46.358% (23179/50000)
 Loss: 1.489 | Acc: 46.350% (23175/50000)
 Loss: 1.484 | Acc: 46.956% (23478/50000)
 Loss: 1.480 | Acc: 47.136% (23568/50000)
 Loss: 1.474 | Acc: 47.192% (23596/50000)
==> Testing..
 9 10 Loss: 1.357 | Acc: 52.180% (5218/10000)   Saving..

 Loss: 1.459 | Acc: 48.052% (24026/50000)
 Loss: 1.466 | Acc: 47.426% (23713/50000)
 Loss: 1.455 | Acc: 47.850% (23925/50000)
 Loss: 1.454 | Acc: 48.006% (24003/50000)
 Loss: 1.445 | Acc: 48.128% (24064/50000)
 Loss: 1.443 | Acc: 48.674% (24337/50000)
 Loss: 1.442 | Acc: 48.512% (24256/50000)
 Loss: 1.435 | Acc: 48.956% (24478/50000)
 Loss: 1.422 | Acc: 49.272% (24636/50000)
 Loss: 1.429 | Acc: 48.936% (24468/50000)
==> Testing..
 9 10 Loss: 1.311 | Acc: 53.570% (5357/10000)   Saving..

 Loss: 1.419 | Acc: 49.414% (24707/50000)
 Loss: 1.420 | Acc: 49.474% (24737/50000)
 Loss: 1.414 | Acc: 49.604% (24802/50000)
 Loss: 1.406 | Acc: 49.806% (24903/50000)
 Loss: 1.398 | Acc: 50.052% (25026/50000)
 Loss: 1.401 | Acc: 49.862% (24931/50000)
 Loss: 1.401 | Acc: 50.006% (25003/50000)
 Loss: 1.395 | Acc: 50.146% (25073/50000)
 Loss: 1.390 | Acc: 50.518% (25259/50000)
 Loss: 1.389 | Acc: 50.428% (25214/50000)
==> Testing..
 9 10 Loss: 1.290 | Acc: 54.850% (5485/10000)   Saving..

 Loss: 1.380 | Acc: 50.816% (25408/50000)
 Loss: 1.378 | Acc: 50.962% (25481/50000)
 Loss: 1.371 | Acc: 51.240% (25620/50000)
 Loss: 1.365 | Acc: 51.320% (25660/50000)
 Loss: 1.366 | Acc: 51.274% (25637/50000)
 Loss: 1.366 | Acc: 51.178% (25589/50000)
 Loss: 1.361 | Acc: 51.296% (25648/50000)
 Loss: 1.356 | Acc: 51.494% (25747/50000)
 Loss: 1.354 | Acc: 51.602% (25801/50000)
 Loss: 1.358 | Acc: 51.564% (25782/50000)
==> Testing..
 9 10 Loss: 1.293 | Acc: 54.810% (5481/10000)
 Loss: 1.359 | Acc: 51.680% (25840/50000)
 Loss: 1.349 | Acc: 51.648% (25824/50000)
 Loss: 1.345 | Acc: 52.276% (26138/50000)
 Loss: 1.347 | Acc: 51.918% (25959/50000)
 Loss: 1.341 | Acc: 52.228% (26114/50000)
 Loss: 1.337 | Acc: 52.346% (26173/50000)
 Loss: 1.336 | Acc: 52.548% (26274/50000)
 Loss: 1.332 | Acc: 52.508% (26254/50000)
 Loss: 1.331 | Acc: 52.478% (26239/50000)
 Loss: 1.323 | Acc: 52.672% (26336/50000)
==> Testing..
 9 10 Loss: 1.262 | Acc: 55.780% (5578/10000)   Saving..

 Loss: 1.318 | Acc: 53.232% (26616/50000)
 Loss: 1.324 | Acc: 53.148% (26574/50000)
 Loss: 1.320 | Acc: 52.862% (26431/50000)
 Loss: 1.312 | Acc: 53.090% (26545/50000)
 Loss: 1.313 | Acc: 53.196% (26598/50000)
 Loss: 1.312 | Acc: 53.350% (26675/50000)
 Loss: 1.318 | Acc: 53.074% (26537/50000)
 Loss: 1.306 | Acc: 53.492% (26746/50000)
 Loss: 1.307 | Acc: 53.522% (26761/50000)
 Loss: 1.302 | Acc: 53.614% (26807/50000)
==> Testing..
 9 10 Loss: 1.241 | Acc: 56.060% (5606/10000)   Saving..

 Loss: 1.293 | Acc: 53.830% (26915/50000)
 Loss: 1.291 | Acc: 53.918% (26959/50000)
 Loss: 1.298 | Acc: 53.804% (26902/50000)
 Loss: 1.288 | Acc: 53.874% (26937/50000)
 Loss: 1.287 | Acc: 53.884% (26942/50000)
 Loss: 1.288 | Acc: 54.328% (27164/50000)
 Loss: 1.290 | Acc: 54.110% (27055/50000)
 Loss: 1.285 | Acc: 54.228% (27114/50000)
 Loss: 1.280 | Acc: 54.424% (27212/50000)
 Loss: 1.271 | Acc: 54.464% (27232/50000)
==> Testing..
 9 10 Loss: 1.232 | Acc: 56.660% (5666/10000)   Saving..

 Loss: 1.280 | Acc: 54.464% (27232/50000)
 Loss: 1.276 | Acc: 54.610% (27305/50000)
 Loss: 1.271 | Acc: 54.732% (27366/50000)
 Loss: 1.273 | Acc: 54.684% (27342/50000)
 Loss: 1.267 | Acc: 55.040% (27520/50000)
 Loss: 1.269 | Acc: 55.074% (27537/50000)
 Loss: 1.260 | Acc: 55.348% (27674/50000)
 Loss: 1.260 | Acc: 55.244% (27622/50000)
 Loss: 1.261 | Acc: 55.102% (27551/50000)
 Loss: 1.258 | Acc: 55.220% (27610/50000)
==> Testing..
 9 10 Loss: 1.221 | Acc: 57.530% (5753/10000)   Saving..

 Loss: 1.259 | Acc: 55.344% (27672/50000)
 Loss: 1.257 | Acc: 55.454% (27727/50000)
 Loss: 1.253 | Acc: 55.552% (27776/50000)
 Loss: 1.256 | Acc: 55.512% (27756/50000)
 Loss: 1.252 | Acc: 55.532% (27766/50000)
 Loss: 1.247 | Acc: 55.868% (27934/50000)
 Loss: 1.249 | Acc: 55.656% (27828/50000)
 Loss: 1.239 | Acc: 56.048% (28024/50000)
 Loss: 1.242 | Acc: 55.978% (27989/50000)
 Loss: 1.241 | Acc: 55.766% (27883/50000)
==> Testing..
 9 10 Loss: 1.203 | Acc: 57.800% (5780/10000)   Saving..

 Loss: 1.236 | Acc: 55.832% (27916/50000)
 Loss: 1.236 | Acc: 56.202% (28101/50000)
 Loss: 1.243 | Acc: 55.836% (27918/50000)
 Loss: 1.232 | Acc: 56.276% (28138/50000)
 Loss: 1.234 | Acc: 56.122% (28061/50000)
 Loss: 1.227 | Acc: 56.612% (28306/50000)
 Loss: 1.229 | Acc: 56.394% (28197/50000)
 Loss: 1.230 | Acc: 56.574% (28287/50000)
 Loss: 1.224 | Acc: 56.606% (28303/50000)
 Loss: 1.222 | Acc: 56.500% (28250/50000)
==> Testing..
 9 10 Loss: 1.190 | Acc: 58.160% (5816/10000)   Saving..

 Loss: 1.228 | Acc: 56.672% (28336/50000)
 Loss: 1.228 | Acc: 56.272% (28136/50000)
 Loss: 1.223 | Acc: 56.646% (28323/50000)
 Loss: 1.222 | Acc: 56.804% (28402/50000)
 Loss: 1.217 | Acc: 56.762% (28381/50000)
 Loss: 1.212 | Acc: 56.956% (28478/50000)
 Loss: 1.220 | Acc: 56.818% (28409/50000)
 Loss: 1.218 | Acc: 56.828% (28414/50000)
 Loss: 1.214 | Acc: 56.926% (28463/50000)
 Loss: 1.214 | Acc: 56.820% (28410/50000)
==> Testing..
 9 10 Loss: 1.183 | Acc: 58.590% (5859/10000)   Saving..

 Loss: 1.219 | Acc: 56.776% (28388/50000)
 Loss: 1.211 | Acc: 56.958% (28479/50000)
 Loss: 1.211 | Acc: 56.950% (28475/50000)
 Loss: 1.214 | Acc: 56.944% (28472/50000)
 Loss: 1.208 | Acc: 57.164% (28582/50000)
 Loss: 1.211 | Acc: 57.102% (28551/50000)
 Loss: 1.207 | Acc: 57.534% (28767/50000)
 Loss: 1.215 | Acc: 57.134% (28567/50000)
 Loss: 1.212 | Acc: 57.272% (28636/50000)
 Loss: 1.213 | Acc: 57.002% (28501/50000)
==> Testing..
 9 10 Loss: 1.185 | Acc: 58.470% (5847/10000)
 Loss: 1.206 | Acc: 57.376% (28688/50000)
 Loss: 1.208 | Acc: 57.042% (28521/50000)
 Loss: 1.214 | Acc: 57.066% (28533/50000)
 Loss: 1.202 | Acc: 57.404% (28702/50000)
 Loss: 1.213 | Acc: 56.946% (28473/50000)
 Loss: 1.208 | Acc: 57.268% (28634/50000)
 Loss: 1.212 | Acc: 57.118% (28559/50000)
 Loss: 1.208 | Acc: 57.214% (28607/50000)
 Loss: 1.211 | Acc: 57.088% (28544/50000)
 Loss: 1.213 | Acc: 56.884% (28442/50000)
==> Testing..
 9 10 Loss: 1.184 | Acc: 58.610% (5861/10000)   Saving..
