
 Loss: 1.996 | Acc: 25.258% (12609/49920)
 Loss: 1.480 | Acc: 45.541% (22734/49920)
 Loss: 1.195 | Acc: 56.871% (28390/49920)
 Loss: 0.997 | Acc: 64.639% (32268/49920)
 Loss: 0.851 | Acc: 70.038% (34963/49920)
 Loss: 0.744 | Acc: 74.044% (36963/49920)
 Loss: 0.659 | Acc: 76.993% (38435/49920)
 Loss: 0.601 | Acc: 79.261% (39567/49920)
 Loss: 0.552 | Acc: 80.881% (40376/49920)
 Loss: 0.509 | Acc: 82.462% (41165/49920)
==> Testing..
 39 40 Loss: 0.531 | Acc: 82.120% (8212/10000)  Saving..

 Loss: 0.480 | Acc: 83.295% (41581/49920)
 Loss: 0.445 | Acc: 84.641% (42253/49920)
 Loss: 0.421 | Acc: 85.401% (42632/49920)
 Loss: 0.394 | Acc: 86.338% (43100/49920)
 Loss: 0.377 | Acc: 86.999% (43430/49920)
 Loss: 0.351 | Acc: 87.804% (43832/49920)
 Loss: 0.333 | Acc: 88.458% (44158/49920)
 Loss: 0.317 | Acc: 88.894% (44376/49920)
 Loss: 0.298 | Acc: 89.790% (44823/49920)
 Loss: 0.289 | Acc: 89.950% (44903/49920)
==> Testing..
 39 40 Loss: 0.417 | Acc: 86.960% (8696/10000)  Saving..

 Loss: 0.273 | Acc: 90.286% (45071/49920)
 Loss: 0.257 | Acc: 90.960% (45407/49920)
 Loss: 0.241 | Acc: 91.589% (45721/49920)
 Loss: 0.235 | Acc: 91.817% (45835/49920)
 Loss: 0.221 | Acc: 92.216% (46034/49920)
 Loss: 0.215 | Acc: 92.406% (46129/49920)
 Loss: 0.204 | Acc: 92.997% (46424/49920)
 Loss: 0.195 | Acc: 93.145% (46498/49920)
 Loss: 0.184 | Acc: 93.704% (46777/49920)
 Loss: 0.178 | Acc: 93.670% (46760/49920)
==> Testing..
 39 40 Loss: 0.338 | Acc: 89.870% (8987/10000)  Saving..

 Loss: 0.160 | Acc: 94.345% (47097/49920)
 Loss: 0.159 | Acc: 94.383% (47116/49920)
 Loss: 0.153 | Acc: 94.647% (47248/49920)
 Loss: 0.150 | Acc: 94.706% (47277/49920)
 Loss: 0.139 | Acc: 95.148% (47498/49920)
 Loss: 0.137 | Acc: 95.256% (47552/49920)
 Loss: 0.128 | Acc: 95.511% (47679/49920)
 Loss: 0.126 | Acc: 95.627% (47737/49920)
 Loss: 0.122 | Acc: 95.731% (47789/49920)
 Loss: 0.113 | Acc: 96.070% (47958/49920)
==> Testing..
 39 40 Loss: 0.359 | Acc: 90.560% (9056/10000)  Saving..

 Loss: 0.117 | Acc: 95.954% (47900/49920)
 Loss: 0.105 | Acc: 96.298% (48072/49920)
 Loss: 0.103 | Acc: 96.426% (48136/49920)
 Loss: 0.100 | Acc: 96.554% (48200/49920)
 Loss: 0.097 | Acc: 96.651% (48248/49920)
 Loss: 0.091 | Acc: 96.909% (48377/49920)
 Loss: 0.091 | Acc: 96.871% (48358/49920)
 Loss: 0.082 | Acc: 97.177% (48511/49920)
 Loss: 0.084 | Acc: 97.055% (48450/49920)
 Loss: 0.081 | Acc: 97.212% (48528/49920)
==> Testing..
 39 40 Loss: 0.345 | Acc: 91.430% (9143/10000)  Saving..

 Loss: 0.076 | Acc: 97.318% (48581/49920)
 Loss: 0.078 | Acc: 97.318% (48581/49920)
 Loss: 0.069 | Acc: 97.640% (48742/49920)
 Loss: 0.071 | Acc: 97.548% (48696/49920)
 Loss: 0.069 | Acc: 97.604% (48724/49920)
 Loss: 0.066 | Acc: 97.770% (48807/49920)
 Loss: 0.064 | Acc: 97.831% (48837/49920)
 Loss: 0.064 | Acc: 97.800% (48822/49920)
 Loss: 0.059 | Acc: 97.905% (48874/49920)
 Loss: 0.054 | Acc: 98.109% (48976/49920)
==> Testing..
 39 40 Loss: 0.404 | Acc: 91.710% (9171/10000)  Saving..

