Running iteration 1
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..
==> Defining training..

 Loss: 2.315 | Acc: 17.916% (8958/50000)
 Loss: 2.063 | Acc: 24.274% (12137/50000)
 Loss: 1.967 | Acc: 28.754% (14377/50000)
 Loss: 1.901 | Acc: 30.954% (15477/50000)
 Loss: 1.834 | Acc: 33.782% (16891/50000)
 Loss: 1.778 | Acc: 35.902% (17951/50000)
 Loss: 1.756 | Acc: 36.686% (18343/50000)
 Loss: 1.707 | Acc: 38.542% (19271/50000)
 Loss: 1.686 | Acc: 39.554% (19777/50000)
 Loss: 1.667 | Acc: 39.958% (19979/50000)
==> Testing..
 9 10 Loss: 1.522 | Acc: 45.780% (4578/10000)   Saving..

 Loss: 1.642 | Acc: 41.036% (20518/50000)
 Loss: 1.630 | Acc: 41.400% (20700/50000)
 Loss: 1.622 | Acc: 41.800% (20900/50000)
 Loss: 1.608 | Acc: 42.056% (21028/50000)
 Loss: 1.590 | Acc: 42.678% (21339/50000)
 Loss: 1.578 | Acc: 43.590% (21795/50000)
 Loss: 1.568 | Acc: 43.696% (21848/50000)
 Loss: 1.548 | Acc: 44.174% (22087/50000)
 Loss: 1.544 | Acc: 44.758% (22379/50000)
 Loss: 1.533 | Acc: 44.938% (22469/50000)
==> Testing..
 9 10 Loss: 1.386 | Acc: 50.460% (5046/10000)   Saving..

 Loss: 1.527 | Acc: 45.262% (22631/50000)
 Loss: 1.524 | Acc: 45.238% (22619/50000)
 Loss: 1.511 | Acc: 45.780% (22890/50000)
 Loss: 1.500 | Acc: 46.252% (23126/50000)
 Loss: 1.496 | Acc: 46.182% (23091/50000)
 Loss: 1.488 | Acc: 46.540% (23270/50000)
 Loss: 1.479 | Acc: 46.916% (23458/50000)
 Loss: 1.480 | Acc: 47.090% (23545/50000)
 Loss: 1.472 | Acc: 47.020% (23510/50000)
 Loss: 1.457 | Acc: 48.002% (24001/50000)
==> Testing..
 9 10 Loss: 1.395 | Acc: 50.920% (5092/10000)   Saving..

 Loss: 1.457 | Acc: 47.776% (23888/50000)
 Loss: 1.451 | Acc: 48.046% (24023/50000)
 Loss: 1.448 | Acc: 48.528% (24264/50000)
